"year","month","date","close","high","low","open","volume"
"1992",Jan,"1992-01-01",3223.4,3299.19,3139.31,3152.1,"561160000"
"1992",Feb,"1992-02-01",3267.7,3293.38,3207.96,3223.4,"411150000"
"1992",Mar,"1992-03-01",3235.5,3299.64,3188.28,3267.7,"402410000"
"1992",Apr,"1992-04-01",3359.1,3366.5,3161.23,3235.5,"458300000"
"1992",May,"1992-05-01",3396.9,3440.67,3324.02,3359.1,"388240000"
"1992",Jun,"1992-06-01",3318.5,3422.28,3254.05,3396.9,"475360000"
"1992",Jul,"1992-07-01",3393.8,3402.96,3266.53,3318.8,"449770000"
"1992",Aug,"1992-08-01",3257.4,3399.99,3207.1,3393.8,"363380000"
"1992",Sep,"1992-09-01",3271.7,3376.49,3242.76,3257.4,"436570000"
"1992",Oct,"1992-10-01",3226.3,3280.85,3095.79,3271.7,"530760000"
"1992",Nov,"1992-11-01",3305.2,3308.41,3184.67,3226.3,"452340000"
"1992",Dec,"1992-12-01",3301.11,3352.71,3248.16,3305.2,"510650000"
"1993",Jan,"1993-01-01",3310.0,3320.83,3231.95,3301.1,"620010000"
"1993",Feb,"1993-02-01",3370.81,3456.73,3266.8,3310.0,"577510000"
"1993",Mar,"1993-03-01",3435.11,3482.12,3343.26,3370.8,"586100000"
"1993",Apr,"1993-04-01",3427.55,3481.58,3363.79,3435.1,"645990000"
"1993",May,"1993-05-01",3527.43,3565.07,3415.33,3439.4,"472660000"
"1993",Jun,"1993-06-01",3516.08,3569.78,3462.66,3527.4,"461140000"
"1993",Jul,"1993-07-01",3539.47,3583.5,3449.9,3516.1,"500980000"
"1993",Aug,"1993-08-01",3651.25,3663.83,3536.96,3539.5,"526610000"
"1993",Sep,"1993-09-01",3555.12,3655.72,3507.06,3651.3,"487790000"
"1993",Oct,"1993-10-01",3680.59,3708.82,3553.72,3555.1,"529130000"
"1993",Nov,"1993-11-01",3683.95,3717.76,3600.67,3680.6,"576680000"
"1993",Dec,"1993-12-01",3754.09,3799.92,3685.06,3685.1,"517250000"
"1994",Jan,"1994-01-01",3978.36,3985.96,3742.81,3754.1,"619530000"
"1994",Feb,"1994-02-01",3832.02,3982.02,3632.02,3978.4,"508560000"
"1994",Mar,"1994-03-01",3635.96,3895.94,3559.09,3832.0,"667490000"
"1994",Apr,"1994-04-01",3681.69,3710.84,3552.47,3634.5,"566680000"
"1994",May,"1994-05-01",3758.37,3772.79,3623.1,3681.7,"533470000"
"1994",Jun,"1994-06-01",3624.96,3823.39,3610.4,3758.4,"554560000"
"1994",Jul,"1994-07-01",3764.5,3770.0,3623.02,3625.0,"450610000"
"1994",Aug,"1994-08-01",3913.42,3939.32,3736.33,3764.5,"625170000"
"1994",Sep,"1994-09-01",3843.19,3992.64,3820.31,3913.1,"591450000"
"1994",Oct,"1994-10-01",3908.12,3949.84,3747.97,3843.2,"636250000"
"1994",Nov,"1994-11-01",3739.23,3907.78,3638.63,3907.78,"613270000"
"1994",Dec,"1994-12-01",3834.44,3866.4,3655.11,3739.2,"543610000"
"1995",Jan,"1995-01-01",3843.86,3936.72,3817.26,3834.4,"615760000"
"1995",Feb,"1995-02-01",4011.05,4021.23,3831.41,3843.9,"576090000"
"1995",Mar,"1995-03-01",4157.69,4198.84,3945.69,4011.1,"702540000"
"1995",Apr,"1995-04-01",4321.27,4328.53,4155.96,4157.7,"547570000"
"1995",May,"1995-05-01",4465.14,4465.14,4301.56,4321.3,"689940000"
"1995",Jun,"1995-06-01",4556.1,4593.1,4406.69,4465.1,"641520000"
"1995",Jul,"1995-07-01",4708.47,4747.21,4551.25,4556.1,"665580000"
"1995",Aug,"1995-08-01",4610.56,4754.96,4570.85,4708.5,"623030000"
"1995",Sep,"1995-09-01",4789.08,4816.54,4607.03,4610.2,"707190000"
"1995",Oct,"1995-10-01",4755.48,4816.9,4659.74,4789.8,"685570000"
"1995",Nov,"1995-11-01",5074.49,5118.93,4744.64,4753.7,"598970000"
"1995",Dec,"1995-12-01",5117.12,5235.62,5051.73,5075.6,"601160000"
"1996",Jan,"1996-01-01",5395.3,5408.67,5014.52,5115.7,"851030000"
"1996",Feb,"1996-02-01",5485.62,5659.4,5348.34,5394.9,"769130000"
"1996",Mar,"1996-03-01",5587.14,5709.97,5424.2,5488.2,"831070000"
"1996",Apr,"1996-04-01",5569.08,5697.69,5415.53,5588.6,"756530000"
"1996",May,"1996-05-01",5643.18,5796.1,5342.2,5567.6,"801900000"
"1996",Jun,"1996-06-01",5654.63,5742.54,5580.38,5643.9,"647790000"
"1996",Jul,"1996-07-01",5528.91,5733.31,5182.32,5654.6,"781850000"
"1996",Aug,"1996-08-01",5616.21,5739.02,5524.1,5528.9,"615820000"
"1996",Sep,"1996-09-01",5882.17,5929.89,5561.46,5611.8,"649320000"
"1996",Oct,"1996-10-01",6029.38,6133.73,5861.67,5878.4,"766260000"
"1996",Nov,"1996-11-01",6521.7,6589.53,5998.82,6027.1,"741560000"
"1996",Dec,"1996-12-01",6448.27,6587.05,6236.05,6520.6,"781180000"
"1997",Jan,"1997-01-01",6813.09,6906.6,6352.83,6447.5,"1003920000"
"1997",Feb,"1997-02-01",6877.74,7073.62,6710.72,6810.8,"765900000"
"1997",Mar,"1997-03-01",6583.48,7112.1,6561.2,6874.3,"962230000"
"1997",Apr,"1997-04-01",7009.0,7057.55,6356.78,6583.5,"1098930000"
"1997",May,"1997-05-01",7331.0,7394.95,6913.47,7008.99,"1046600000"
"1997",Jun,"1997-06-01",7672.8,7834.06,7253.78,7331.0,"1086740000"
"1997",Jul,"1997-07-01",8222.6,8282.77,7667.36,7678.0,"1265280000"
"1997",Aug,"1997-08-01",7622.4,8299.49,7606.86,8222.8,"1123190000"
"1997",Sep,"1997-09-01",7945.3,8035.63,7580.85,7631.7,"1212550000"
"1997",Oct,"1997-10-01",7442.1,8184.7,6971.07,7948.5,"1605030000"
"1997",Nov,"1997-11-01",7823.1,7881.07,7349.99,7445.8,"1068290000"
"1997",Dec,"1997-12-01",7908.3,8166.29,7576.93,7825.12,"1156060000"
"1998",Jan,"1998-01-01",7906.5,8035.54,7443.41,7910.2,"1324260000"
"1998",Feb,"1998-02-01",8545.72,8566.89,7909.99,7909.99,"1031480000"
"1998",Mar,"1998-03-01",8799.81,8959.24,8405.72,8544.47,"1191880000"
"1998",Apr,"1998-04-01",9063.37,9213.33,8748.74,8801.56,"1387960000"
"1998",May,"1998-05-01",8899.95,9261.91,8788.1,9066.61,"1075240000"
"1998",Jun,"1998-06-01",8952.02,9104.72,8569.88,8900.95,"1287570000"
"1998",Jul,"1998-07-01",8883.29,9367.84,8816.09,8958.99,"1413670000"
"1998",Aug,"1998-08-01",7539.07,8886.12,7539.07,8883.29,"1641660000"
"1998",Sep,"1998-09-01",7842.62,8182.47,7400.3,7545.76,"1897140000"
"1998",Oct,"1998-10-01",8592.1,8659.81,7467.49,7841.33,"1916330000"
"1998",Nov,"1998-11-01",9116.55,9380.2,8595.7,8595.7,"1389030000"
"1998",Dec,"1998-12-01",9181.43,9334.88,8676.03,9116.55,"1507520000"
"1999",Jan,"1999-01-01",9358.83,9647.96,9063.26,9184.01,"1746490000"
"1999",Feb,"1999-02-01",9306.58,9611.33,9099.04,9359.6,"1545220000"
"1999",Mar,"1999-03-01",9786.16,10085.31,9211.23,9307.39,"1993040000"
"1999",Apr,"1999-04-01",10789.04,10961.71,9765.63,9786.44,"2096500000"
"1999",May,"1999-05-01",10559.74,11130.67,10434.26,10789.04,"1842620000"
"1999",Jun,"1999-06-01",10970.8,11003.41,10409.14,10561.01,"1766990000"
"1999",Jul,"1999-07-01",10655.15,11252.27,10647.86,10966.05,"1672190000"
"1999",Aug,"1999-08-01",10829.28,11365.93,10549.08,10654.83,"1857760000"
"1999",Sep,"1999-09-01",10336.95,11142.41,10081.13,10828.44,"1751910000"
"1999",Oct,"1999-10-01",10729.86,10790.02,9976.02,10335.69,"2203030000"
"1999",Nov,"1999-11-01",10877.81,11112.77,10536.27,10730.78,"3250890000"
"1999",Dec,"1999-12-01",11497.12,11568.77,10859.65,10876.47,"3166150000"
"2000",Jan,"2000-01-01",10940.53,11750.28,10701.64,11501.85,"3854530000"
"2000",Feb,"2000-02-01",10128.31,11118.93,9836.06,10937.74,"3661120000"
"2000",Mar,"2000-03-01",10921.92,11234.65,9731.81,10128.11,"4754630000"
"2000",Apr,"2000-04-01",10733.91,11425.45,10201.53,10863.28,"4049750000"
"2000",May,"2000-05-01",10522.33,10971.24,10258.81,10749.42,"3816980000"
"2000",Jun,"2000-06-01",10447.89,10863.0,10335.46,10532.27,"3823590000"
"2000",Jul,"2000-07-01",10521.98,10874.63,10393.09,10450.36,"3248880000"
"2000",Aug,"2000-08-01",11215.1,11319.06,10516.76,10523.81,"3620730000"
"2000",Sep,"2000-09-01",10650.92,11401.19,10567.32,11219.54,"4639930000"
"2000",Oct,"2000-10-01",10971.14,10995.41,9654.64,10659.06,"6254820000"
"2000",Nov,"2000-11-01",10414.49,11006.5,10292.39,10966.21,"4680310000"
"2000",Dec,"2000-12-01",10787.99,10917.68,10299.21,10416.76,"5202580000"
"2001",Jan,"2001-01-01",10887.36,11028.0,10468.04,10790.92,"5825960000"
"2001",Feb,"2001-02-01",10495.28,11035.14,10294.01,10884.82,"4164820000"
"2001",Mar,"2001-03-01",9878.78,10859.5,9106.54,10493.25,"6086470000"
"2001",Apr,"2001-04-01",10734.97,10906.41,9375.72,9877.16,"5241100000"
"2001",May,"2001-05-01",10911.94,11350.05,10673.22,10734.05,"4518100000"
"2001",Jun,"2001-06-01",10502.4,11196.53,10394.72,10913.57,"4914500000"
"2001",Jul,"2001-07-01",10522.81,10679.12,10120.89,10504.95,"4605880000"
"2001",Aug,"2001-08-01",9949.75,10609.65,9869.14,10527.38,"4083400000"
"2001",Sep,"2001-09-01",8847.56,10182.38,8062.34,9946.98,"5555020000"
"2001",Oct,"2001-10-01",9075.14,9598.17,8732.14,8845.97,"5722030000"
"2001",Nov,"2001-11-01",9851.56,9992.79,9014.46,9087.45,"4722560000"
"2001",Dec,"2001-12-01",10021.57,10184.45,9703.9,9848.93,"4302710000"
"2002",Jan,"2002-01-01",9920.0,10300.15,9529.46,10021.71,"4955760000"
"2002",Feb,"2002-02-01",10106.13,10255.24,9580.32,9923.04,"4651890000"
"2002",Mar,"2002-03-01",10403.94,10673.1,10111.04,10111.04,"4589750000"
"2002",Apr,"2002-04-01",9946.22,10402.07,9811.57,10402.07,"5111860000"
"2002",May,"2002-05-01",9925.25,10353.43,9802.23,9944.9,"4800810000"
"2002",Jun,"2002-06-01",9243.26,9986.49,8926.57,9923.94,"5783720000"
"2002",Jul,"2002-07-01",8736.59,9410.38,7532.66,9239.25,"7714600000"
"2002",Aug,"2002-08-01",8663.5,9077.01,8030.82,8732.58,"5591350000"
"2002",Sep,"2002-09-01",7591.93,8726.9,7460.78,8659.27,"5601800000"
"2002",Oct,"2002-10-01",8397.03,8558.63,7197.49,7593.04,"7498850000"
"2002",Nov,"2002-11-01",8896.09,8950.33,8298.68,8395.64,"5410370000"
"2002",Dec,"2002-12-01",8341.63,9043.37,8242.91,8902.95,"4607200000"
"2003",Jan,"2003-01-01",8053.81,8869.29,7917.16,8342.38,"5426600000"
"2003",Feb,"2003-02-01",7891.08,8152.53,7628.99,8053.74,"4418320000"
"2003",Mar,"2003-03-01",7992.13,8522.18,7416.64,7890.24,"5616290000"
"2003",Apr,"2003-04-01",8480.09,8559.77,7979.69,7992.83,"5128590000"
"2003",May,"2003-05-01",8850.26,8868.33,8340.23,8478.48,"4686280000"
"2003",Jun,"2003-06-01",8985.44,9352.77,8851.45,8851.45,"4987850000"
"2003",Jul,"2003-07-01",9233.8,9361.4,8871.2,8983.66,"4911390000"
"2003",Aug,"2003-08-01",9415.82,9499.97,8997.11,9232.68,"3853760000"
"2003",Sep,"2003-09-01",9275.06,9686.08,9230.47,9416.67,"4385460000"
"2003",Oct,"2003-10-01",9801.12,9850.01,9276.8,9276.8,"4840970000"
"2003",Nov,"2003-11-01",9782.46,9903.57,9585.5,9802.46,"3548520000"
"2003",Dec,"2003-12-01",10453.92,10462.44,9785.35,9785.35,"4246080000"
"2004",Jan,"2004-01-01",10488.07,10705.18,10367.41,10452.74,"4380510000"
"2004",Feb,"2004-02-01",10583.92,10753.63,10434.67,10487.78,"3894640000"
"2004",Mar,"2004-03-01",10357.7,10695.55,10007.49,10582.25,"5009640000"
"2004",Apr,"2004-04-01",10225.57,10570.81,10219.18,10357.52,"4530000000"
"2004",May,"2004-05-01",10188.45,10386.32,9852.19,10227.27,"4016800000"
"2004",Jun,"2004-06-01",10435.48,10498.67,10134.86,10187.18,"4111110000"
"2004",Jul,"2004-07-01",10139.71,10448.09,9913.92,10434.0,"4452180000"
"2004",Aug,"2004-08-01",10173.92,10211.25,9783.91,10138.45,"3756550000"
"2004",Sep,"2004-09-01",10080.27,10363.36,9977.92,10170.12,"4638370000"
"2004",Oct,"2004-10-01",10027.47,10270.37,9708.4,10082.04,"5292920000"
"2004",Nov,"2004-11-01",10428.02,10602.85,10010.15,10028.73,"5666600000"
"2004",Dec,"2004-12-01",10783.01,10868.07,10418.63,10425.8,"5744730000"
"2005",Jan,"2005-01-01",10489.94,10867.39,10368.61,10783.75,"5424930000"
"2005",Feb,"2005-02-01",10766.23,10853.43,10489.64,10489.72,"5038600000"
"2005",Mar,"2005-03-01",10503.76,10984.46,10396.24,10769.04,"5820160000"
"2005",Apr,"2005-04-01",10192.51,10568.93,10000.46,10504.57,"5852240000"
"2005",May,"2005-05-01",10467.48,10560.81,10075.55,10192.0,"4843000000"
"2005",Jun,"2005-06-01",10274.97,10656.29,10253.49,10462.86,"5026730000"
"2005",Jul,"2005-07-01",10640.91,10717.73,10175.4,10273.59,"4821200000"
"2005",Aug,"2005-08-01",10481.6,10719.41,10349.37,10641.78,"5082400000"
"2005",Sep,"2005-09-01",10568.7,10701.81,10350.96,10481.44,"5229310000"
"2005",Oct,"2005-10-01",10440.07,10608.56,10156.46,10569.5,"5829060000"
"2005",Nov,"2005-11-01",10805.87,10959.79,10388.76,10440.07,"5385780000"
"2005",Dec,"2005-12-01",10717.5,10940.34,10709.42,10806.03,"5223910000"
"2006",Jan,"2006-01-01",10864.86,11047.76,10661.15,10718.3,"6552210000"
"2006",Feb,"2006-02-01",10993.41,11159.18,10737.67,10862.14,"5759090000"
"2006",Mar,"2006-03-01",11109.32,11334.96,10922.73,10993.25,"6680180000"
"2006",Apr,"2006-04-01",11367.14,11417.66,11039.12,11113.0,"5584020000"
"2006",May,"2006-05-01",11168.31,11670.19,11030.47,11367.78,"7360590000"
"2006",Jun,"2006-06-01",11150.22,11285.82,10698.85,11169.03,"6959660000"
"2006",Jul,"2006-07-01",11185.68,11257.08,10683.32,11149.34,"5548680000"
"2006",Aug,"2006-08-01",11381.15,11407.08,11042.64,11184.8,"4668650000"
"2006",Sep,"2006-09-01",11679.07,11741.99,11323.84,11382.75,"4494890000"
"2006",Oct,"2006-10-01",12080.73,12167.02,11653.06,11678.99,"5665820000"
"2006",Nov,"2006-11-01",12221.93,12361.0,11965.31,12080.25,"4722850000"
"2006",Dec,"2006-12-01",12463.15,12529.88,12089.98,12220.97,"4381310000"
"2007",Jan,"2007-01-01",12621.69,12657.02,12337.37,12459.54,"5075440000"
"2007",Feb,"2007-02-01",12268.63,12795.93,12086.06,12617.2,"4347420000"
"2007",Mar,"2007-03-01",12354.35,12511.05,11939.61,12268.63,"5633180000"
"2007",Apr,"2007-04-01",13062.91,13162.06,12324.28,12354.52,"4819810000"
"2007",May,"2007-05-01",13627.64,13673.07,13041.3,13062.75,"5039850000"
"2007",Jun,"2007-06-01",13408.62,13692.0,13251.53,13628.69,"5227620000"
"2007",Jul,"2007-07-01",13211.99,14021.95,13199.79,13409.6,"5512040000"
"2007",Aug,"2007-08-01",13357.74,13695.82,12517.94,13211.09,"6199120000"
"2007",Sep,"2007-09-01",13895.63,13924.81,13021.93,13358.39,"4328370000"
"2007",Oct,"2007-10-01",13930.01,14198.1,13407.49,13895.71,"5010920000"
"2007",Nov,"2007-11-01",13371.72,13924.16,12724.09,13924.16,"5980230000"
"2007",Dec,"2007-12-01",13264.82,13780.11,13092.0,13368.22,"4310320000"
"2008",Jan,"2008-01-01",12650.36,13279.54,11634.82,13261.82,"7459830000"
"2008",Feb,"2008-02-01",12266.39,12767.74,12069.47,12638.17,"5720360000"
"2008",Mar,"2008-03-01",12262.89,12622.07,11731.6,12264.36,"6229020000"
"2008",Apr,"2008-04-01",12820.13,13010.0,12266.47,12266.64,"5050840000"
"2008",May,"2008-05-01",12638.32,13136.69,12442.59,12818.34,"4530790000"
"2008",Jun,"2008-06-01",11350.01,12638.08,11287.56,12637.67,"5309950000"
"2008",Jul,"2008-07-01",11378.02,11698.17,10827.71,11344.64,"5551580000"
"2008",Aug,"2008-08-01",11543.96,11867.11,11221.53,11379.89,"3578210000"
"2008",Sep,"2008-09-01",10850.66,11790.17,10365.45,11545.63,"6302330000"
"2008",Oct,"2008-10-01",9325.01,10882.52,7882.51,10847.4,"8311580000"
"2008",Nov,"2008-11-01",8829.04,9653.95,7449.38,9326.04,"6262880000"
